new_name
New Albany
North Augusta
South Belmonte
East Columbia
West Dakota
Central Franklin
Upper Georgia
Lower Hampshire
Greater Idaho
Lesser Indiana
Outer Kansas
Inner Kentucky
Old Louisiana
New Madison
North Manitoba
South Michigan
East Minnesota
West Mississippi
Central Montana
Upper Nebraska
Lower Nevada
Greater New Albion
Lesser New Athens
Outer New Bristol
Inner New Caledonia
Old New Cornwall
New New Devon
North New Essex
South New Florence
East New Galway
West New Hampshire
Central New Ipswich
Upper New Jersey
Lower New Kent
Greater New Lancaster
Lesser New Manchester
Outer New Norfolk
Inner New Oxford
Old New Plymouth
New New Richmond
North New Somerset
South New Suffolk
East New Sussex
West New Trenton
Central New Ulster
Upper New Warwick
Lower New Winchester
Greater New York
Lesser New Zealand
Outer Niagara
Inner Nova
Old Ohio
New Oklahoma
North Ontario
South Oregon
East Pacifica
West Pennsylvania
Central Quebec
Upper Rhode
Lower Sakota
Greater Scotia
Lesser Sonora
Outer Tennessee
Inner Texas
Old Vermont
New Virginia
North Washington
South Wisconsin
East Wyoming
West Yukon
Central Zephyria
Upper Alberta
Lower Arcadia
Greater Astoria
Lesser Atlantica
Outer Aurora
Inner Avalon
Old Borealis
New Britannia
North Caledonia
South Cascadia
East Centralia
West Chesapeake
Central Chinook
Upper Chronia
Lower Colonia
Greater Concordia
Lesser Danubia
Outer Delmarva
Inner Deseret
Old Dixie
New Eldorado
North Elysium
South Euphoria
East Fredonia
West Freedonia
Central Frontier
Upper Glacieria
Lower Gloriosa
Greater Harmonia
Lesser Helenia
Outer Hibernia
Inner Hudsonia
Old Ionia
New Laconia
North Laurentia
South Liberia
East Lucentia
West Lumieria
Central Lunaria
Upper Magnolia
Lower Maritima
Greater Mayflower
Lesser Meridian
Outer Metroland
Inner Midland
Old Millenia
New Mirabilia
North Montania
South Narnia
East Nirvana
West Noveaux
Central Novus
Upper Olympia
Lower Pacifica
Greater Pandia
Lesser Paradiso
Outer Phillipsia
Inner Phoenix
Old Pietopia
New Polaria
North Potomac
South Quivira
East Roanoke
West Rosaria
Central Sylvania
Upper Texarkana
Lower Tidewater
Greater Transovia
Lesser Tropicana
Outer Utopia
Inner Valhalla
Old Vandalia
New Vinland
North Westhaven
South Whitmoor
East Windsoria
West Xanadu
Central Yonderland
Upper Zenithia
Lower Zirconia
Greater Acadiana
Lesser Appalachia
Outer Arcadia
Inner Argentia
Old Arrowhead
