"state","year","population","unemploymentrate","opioid_rx","deaths","crude.rate"
"Alabama",1999,4430141,4.7,NA,169,3.81477700145436
"Alabama",2000,4447100,4.6,NA,197,4.42985316273527
"Alabama",2001,4467634,5.1,NA,216,4.83477384226192
"Alabama",2002,4480089,5.9,NA,211,4.70972786478126
"Alabama",2003,4503491,6,NA,197,4.37438422770246
"Alabama",2004,4530729,5.7,NA,283,6.24623542922121
"Alabama",2005,4569805,4.5,NA,283,6.19282442029802
"Alabama",2006,4628981,4,115.6,398,8.59800461483856
"Alabama",2007,4672840,4,120.3,511,10.9355338509343
"Alabama",2008,4718206,5.7,126.1,607,12.8650593043203
"Alabama",2009,4757938,11,131.6,630,13.2410300428463
"Alabama",2010,4779736,10.5,134.3,547,11.4441467060105
"Alabama",2011,4802740,9.6,136.6,552,11.4934391618118
"Alabama",2012,4822023,8,143.8,562,11.654859381633
"Alabama",2013,4833722,7.2,142.4,598,12.3714189603788
"Alabama",2014,4849377,6.8,135.2,723,14.9091316265986
"Alabama",2015,4858979,6.1,125,736,15.1472150836626
"Alabama",2016,4863300,5.8,121,756,15.5450003084325
"Alabama",2017,4874747,4.4,108.8,835,17.1290940842673
"Alaska",1999,624779,6.5,NA,46,7.3626034165681
"Alaska",2000,626932,6.4,NA,48,7.65633274422106
"Alaska",2001,633714,6.4,NA,62,9.78359322975349
"Alaska",2002,642337,7.3,NA,84,13.0772476130131
"Alaska",2003,648414,7.8,NA,83,12.8004639011496
"Alaska",2004,659286,7.5,NA,86,13.0444147153132
"Alaska",2005,666946,6.9,NA,79,11.8450369295265
"Alaska",2006,675302,6.6,63.4,76,11.2542240360609
"Alaska",2007,680300,6.3,66.6,72,10.583566073791
"Alaska",2008,687455,6.7,68.5,127,18.4739364758421
"Alaska",2009,698895,7.7,67.3,131,18.7438742586512
"Alaska",2010,710231,7.9,68.4,83,11.6863386700947
"Alaska",2011,722718,7.6,68,107,14.8052214003249
"Alaska",2012,731449,7.1,66.8,129,17.6362261757142
"Alaska",2013,735132,7,63.7,105,14.2831491487243
"Alaska",2014,736732,6.9,62.7,124,16.8310864737788
"Alaska",2015,738432,6.5,60.8,122,16.5214941931011
"Alaska",2016,741894,6.9,58.9,128,17.2531385885315
"Alaska",2017,739795,7,52,147,19.8703694942518
"Arizona",1999,5023823,4.4,NA,511,10.171536696257
"Arizona",2000,5130632,4,NA,522,10.1741851686108
"Arizona",2001,5273477,4.8,NA,552,10.4674771502749
"Arizona",2002,5396255,6.1,NA,624,11.563575109034
"Arizona",2003,5510364,5.7,NA,674,12.2314968666317
"Arizona",2004,5652404,5,NA,744,13.1625411064036
"Arizona",2005,5839077,4.7,NA,794,13.5980395531691
"Arizona",2006,6029141,4.2,74.3,876,14.529432965658
"Arizona",2007,6167681,3.9,77.8,943,15.2893769959893
"Arizona",2008,6280362,6.2,80.9,828,13.1839534090551
"Arizona",2009,6343154,9.9,84.2,1002,15.7965579899211
"Arizona",2010,6392017,10.4,88.5,1098,17.1776764673811
"Arizona",2011,6482505,9.5,88.6,1071,16.5213910363355
"Arizona",2012,6553255,8.3,85.3,1134,17.3043777481572
"Arizona",2013,6626624,7.7,80.4,1222,18.4407625964594
"Arizona",2014,6731484,6.8,79.7,1211,17.9900895552897
"Arizona",2015,6828065,6.1,75.5,1274,18.6582875236249
"Arizona",2016,6931071,5.4,70.2,1382,19.9391984297953
"Arizona",2017,7016270,4.9,60.8,1532,21.834963591766
"Arkansas",1999,2651860,4.6,NA,113,4.26116009140754
"Arkansas",2000,2673400,4.3,NA,140,5.23677713772724
"Arkansas",2001,2691571,5,NA,126,4.68128093221394
"Arkansas",2002,2705927,5.5,NA,176,6.50424050611861
"Arkansas",2003,2724816,5.9,NA,184,6.75274954345541
"Arkansas",2004,2749686,5.7,NA,230,8.36459144789623
"Arkansas",2005,2781097,5.2,NA,269,9.67244220535997
"Arkansas",2006,2821761,5.2,98.3,285,10.1000758037268
"Arkansas",2007,2848650,5.3,108.2,301,10.5664086497113
"Arkansas",2008,2874554,5.5,112.1,360,12.5236819346584
"Arkansas",2009,2896843,7.8,116,351,12.1166386994394
"Arkansas",2010,2915918,8.2,120.8,350,12.0030810194251
"Arkansas",2011,2937979,8.3,115.2,355,12.0831360605369
"Arkansas",2012,2949131,7.6,121.8,373,12.6477935364689
"Arkansas",2013,2959373,7.2,120.9,319,10.779310347158
"Arkansas",2014,2966369,6,123.2,356,12.0012041657663
"Arkansas",2015,2978204,5,117.2,392,13.1622951282048
"Arkansas",2016,2988248,4,114.6,401,13.4192342804212
"Arkansas",2017,3004279,3.7,106.1,446,14.845492046511
"California",1999,33499204,5.2,NA,2662,7.94645747403431
"California",2000,33871648,4.9,NA,1941,5.73045633917783
"California",2001,34479458,5.4,NA,1226,3.55574034835466
"California",2002,34871843,6.7,NA,2975,8.53123822563665
"California",2003,35253159,6.8,NA,3108,8.81623119221741
"California",2004,35574576,6.2,NA,3125,8.78436330485007
"California",2005,35827943,5.4,NA,3214,8.97065176195016
"California",2006,36021202,4.9,51,3494,9.69984288697529
"California",2007,36250311,5.4,53.6,3854,10.6316329258527
"California",2008,36604337,7.3,55.1,3863,10.5533942603577
"California",2009,36961229,11.2,55.6,4056,10.9736610760427
"California",2010,37253956,12.2,55.8,4057,10.8901186225699
"California",2011,37691912,11.7,55.9,4180,11.0899123398144
"California",2012,38041430,10.4,56.4,4040,10.6200003522475
"California",2013,38332521,8.9,54.4,4452,11.6141591626598
"California",2014,38802500,7.5,52.7,4521,11.6513111268604
"California",2015,39144818,6.2,47.7,4659,11.9019585172168
"California",2016,39250017,5.5,44.8,4654,11.8573197051099
"California",2017,39536653,4.8,39.8,4868,12.3126254516284
"Colorado",1999,4226018,3.1,NA,349,8.25836520336638
"Colorado",2000,4301261,2.8,NA,352,8.18364660968028
"Colorado",2001,4425687,3.8,NA,411,9.28669379465832
"Colorado",2002,4490406,5.5,NA,448,9.97682614890502
"Colorado",2003,4528732,6,NA,502,11.0847804639356
"Colorado",2004,4575013,5.5,NA,518,11.3223721987238
"Colorado",2005,4631888,5,NA,608,13.126396838611
"Colorado",2006,4720423,4.3,62.2,627,13.2827079268108
"Colorado",2007,4803868,3.7,65.9,734,15.2793540538583
"Colorado",2008,4889730,4.8,67.7,749,15.3178191842903
"Colorado",2009,4972195,7.3,69.8,769,15.4660064619348
"Colorado",2010,5029196,8.7,72,654,13.004066653994
"Colorado",2011,5116796,8.4,73,843,16.4751535922089
"Colorado",2012,5187582,7.9,73.5,807,15.5563806027548
"Colorado",2013,5268367,6.9,71.2,846,16.058106809947
"Colorado",2014,5355866,5,69.6,899,16.7853340617558
"Colorado",2015,5456574,3.9,65.1,869,15.9257438825168
"Colorado",2016,5540545,3.2,59.8,942,17.0019375350259
"Colorado",2017,5607154,2.7,52.4,1015,18.1018748548729
"Connecticut",1999,3386401,2.9,NA,310,9.15426141204187
"Connecticut",2000,3405565,2.4,NA,320,9.39638503449501
"Connecticut",2001,3432835,3.1,NA,307,8.94304561681526
"Connecticut",2002,3458749,4.3,NA,354,10.2349144155878
"Connecticut",2003,3484336,5.4,NA,307,8.81086095026427
"Connecticut",2004,3496094,5,NA,333,9.52491552000604
"Connecticut",2005,3506956,4.9,NA,295,8.4118534706452
"Connecticut",2006,3517460,4.3,64.7,407,11.5708494197518
"Connecticut",2007,3527270,4.5,67.5,433,12.2757826874608
"Connecticut",2008,3545579,5.7,68.7,386,10.8867973326782
"Connecticut",2009,3561807,7.9,68.1,393,11.0337252972999
"Connecticut",2010,3574097,9.1,68.6,363,10.1564115355571
"Connecticut",2011,3580709,8.8,69.1,402,11.2268268658525
"Connecticut",2012,3590347,8.3,69.3,439,12.2272304041921
"Connecticut",2013,3596080,7.8,67.4,582,16.1842895597428
"Connecticut",2014,3596677,6.6,66,623,17.3215443032555
"Connecticut",2015,3590886,5.7,62.3,800,22.2786242726725
"Connecticut",2016,3576452,5.1,55.9,971,27.1498121602079
"Connecticut",2017,3588184,4.7,48.6,1072,29.8758369136031
"Delaware",1999,774990,3.4,NA,50,6.45169615091808
"Delaware",2000,783600,3.7,NA,55,7.01888718734048
"Delaware",2001,795699,3.5,NA,64,8.04324248239598
"Delaware",2002,806169,4,NA,84,10.4196514626586
"Delaware",2003,818003,4.3,NA,77,9.41316841136279
"Delaware",2004,830803,4,NA,63,7.58302509740576
"Delaware",2005,845150,4.1,NA,62,7.33597586227297
"Delaware",2006,859268,3.6,86.6,78,9.07749386687273
"Delaware",2007,871749,3.4,92.3,97,11.1270560677443
"Delaware",2008,883874,4.9,95.4,124,14.0291489510948
"Delaware",2009,891730,8.3,97.5,136,15.251253182017
"Delaware",2010,897934,8.4,101.1,145,16.1481801557798
"Delaware",2011,907135,7.5,99.7,160,17.6379480452193
"Delaware",2012,917092,7.2,94,141,15.3746843282899
"Delaware",2013,925749,6.7,92.7,166,17.9314263369445
"Delaware",2014,935614,5.7,91,189,20.2006382974175
"Delaware",2015,945934,4.9,84.4,198,20.9316929088076
"Delaware",2016,952065,4.5,79.2,282,29.6198263774007
"Delaware",2017,961939,4.5,68.6,338,35.1373631799937
