"ttt","smd","true_effect","scenario_name","scenario_name_label"
0,0,0,"I","Ramp Up"
1,0.0375300166700147,0.251089712732181,"I","Ramp Up"
2,0.0750600333400294,0.502179425464363,"I","Ramp Up"
3,0.112590050010044,0.753269138196544,"I","Ramp Up"
4,0.150120066680059,1.00435885092873,"I","Ramp Up"
5,0.187650083350074,1.25544856366091,"I","Ramp Up"
0,0.187650083350074,1.25544856366091,"II","Ramp Down"
1,0.150120066680059,1.00435885092873,"II","Ramp Down"
2,0.112590050010044,0.753269138196544,"II","Ramp Down"
3,0.0750600333400294,0.502179425464363,"II","Ramp Down"
4,0.0375300166700147,0.251089712732181,"II","Ramp Down"
5,0,0,"II","Ramp Down"
0,0,0,"III","Temporary"
1,0.0562950250050221,0.376634569098272,"III","Temporary"
2,0.131355058345052,0.878813994562635,"III","Temporary"
3,0.187650083350074,1.25544856366091,"III","Temporary"
4,0.150120066680059,1.00435885092873,"III","Temporary"
5,0.0375300166700147,0.251089712732181,"III","Temporary"
0,0,0,"IV","Inconsistent"
1,0.0938250416750368,0.627724281830453,"IV","Inconsistent"
2,0.112590050010044,0.753269138196544,"IV","Inconsistent"
3,0.150120066680059,1.00435885092873,"IV","Inconsistent"
4,0.0938250416750368,0.627724281830453,"IV","Inconsistent"
5,0.112590050010044,0.753269138196544,"IV","Inconsistent"
0,0,0,"V","No Effect"
1,0,0,"V","No Effect"
2,0,0,"V","No Effect"
3,0,0,"V","No Effect"
4,0,0,"V","No Effect"
5,0,0,"V","No Effect"
