"outcome","mse","error","estimate_ttt==1","estimate_ttt==2","estimate_ttt==3","estimate_ttt==4","estimate_ttt==5","estimate_ttt==6","se_ttt==1","se_ttt==2","se_ttt==3","se_ttt==4","se_ttt==5","se_ttt==6","variance_ttt==1","variance_ttt==2","variance_ttt==3","variance_ttt==4","variance_ttt==5","variance_ttt==6","t_stat_ttt==1","t_stat_ttt==2","t_stat_ttt==3","t_stat_ttt==4","t_stat_ttt==5","t_stat_ttt==6","p_value_ttt==1","p_value_ttt==2","p_value_ttt==3","p_value_ttt==4","p_value_ttt==5","p_value_ttt==6","model_name","model_call","model_formula","policy_speed","n_implementation_periods","prior_control","n_units","effect_direction","effect_magnitude1","effect_magnitude2","effect_magnitude3","effect_magnitude4","effect_magnitude5","effect_magnitude6","n","mean_es_prior","max_es_prior","mean_es_outcome","max_es_outcome","n_unique_enact_years","mu1_prior","mu0_prior","sd_prior","mu1_prior_old","mu0_prior_old","sd_prior_old","mu1","mu0","sd","iter","seed"
"crude.rate",9.96120423009268,NA,-2.8460356442187,-2.15749482315837,-0.979302156439443,-0.300678718823508,-0.276454583725317,-7.85660368935079,0.831717325151298,1.85384826304947,1.55580157524588,3.22234862446009,4.71008207052859,1.44066078153443,0.69175370895683,3.43675338241154,2.42051854153756,10.3835306575598,22.1848731111149,2.0755034874514,-3.42187851347329,-1.16379256391212,-0.629451835003236,-0.0933104247445874,-0.0586942179744846,-5.45347231635112,0.00124812379701886,0.2500316621739,0.531919040946077,0.926029851954968,0.953429620844171,1.52635374131029e-06,"twfe","feols","crude.rate ~ unemploymentrate + i(time_to_treat, ref = c(-1, Inf)) | state + year","instant",6,"level",5,"pos",0,0,0,0,0,0,5,0.0342652742188543,0.847116270729915,-0.126832021220893,0.861926896804506,4,16.3788093618328,11.7901555442413,5.18010449510342,16.3788093618328,11.7901555442413,5.18010449510342,18.0533387015499,12.4385983222794,6.69037040244093,1,9780
"crude.rate",NA,NA,-0.82889202992693,-0.125531231471872,1.42394681082216,1.3385247037897,1.81817587519127,0.242280681259461,1.67754205399056,1.66296989042323,1.70045040665781,1.77355568896933,1.93167656026631,1.9544419470669,2.81414734290687,2.76546885645427,2.89153158550273,3.14549978187548,3.73137433348227,3.81984332445466,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"autoregressive","autoreg_debiased","crude.rate ~ unemploymentrate + i(time_to_treat, ref = c(-1)) + lag_outcome | year","instant",6,"level",5,"pos",0,0,0,0,0,0,5,0.0342652742188543,0.847116270729915,-0.126832021220893,0.861926896804506,4,16.3788093618328,11.7901555442413,5.18010449510342,16.3788093618328,11.7901555442413,5.18010449510342,18.0533387015499,12.4385983222794,6.69037040244093,1,9780
"crude.rate",9.6965375734482,NA,-3.59879392804022,-3.24488230439254,-2.35429860139222,-1.77782169056922,-1.75868718422682,-9.0916670907296,0.534890279221965,1.21761872372854,1.23888079275798,3.07440652055501,4.4444252946779,1.47070663556446,0.286107610806152,1.48259535637432,1.53482561866464,9.45197545363119,19.7529161999728,2.16297800789335,-6.72809745818323,-2.66494120134438,-1.90034312837405,-0.578265001288207,-0.395706321429861,-6.18183590858701,1.59852985704964e-08,0.0103398222714789,0.0631616403373312,0.565680811081152,0.694005136683776,1.14098399681732e-07,"sa","feols","crude.rate ~ unemploymentrate + sunab(treatment_date, time_to_treat, ref.p = c(-1, .F)) | state + year","instant",6,"level",5,"pos",0,0,0,0,0,0,5,0.0342652742188543,0.847116270729915,-0.126832021220893,0.861926896804506,4,16.3788093618328,11.7901555442413,5.18010449510342,16.3788093618328,11.7901555442413,5.18010449510342,18.0533387015499,12.4385983222794,6.69037040244093,1,9780
"crude.rate",NA,NA,-2.2219297641083,-2.21207955242573,-2.47203424036503,-2.03674829732233,-2.22936602435036,-7.66554268783463,0.584089979982678,1.20134601006902,1.57274809536443,3.16390146927843,4.72800374390352,1.30694119574181,0.341161104716165,1.44323223590876,2.47353657147243,10.0102725073022,22.3540194023657,1.70809528912704,NA,NA,NA,NA,NA,NA,0.000142327501635836,0.0655725917981068,0.115998595969239,0.519740282246039,0.63726676821697,4.4844441052448e-09,"csa_did","att_gt","crude.rate ~ unemploymentrate + treatment_level","instant",6,"level",5,"pos",0,0,0,0,0,0,5,0.0342652742188543,0.847116270729915,-0.126832021220893,0.861926896804506,4,16.3788093618328,11.7901555442413,5.18010449510342,16.3788093618328,11.7901555442413,5.18010449510342,18.0533387015499,12.4385983222794,6.69037040244093,1,9780
"crude.rate",10.1065658679984,NA,-2.54407962611229,-1.76953164642468,-0.399518237096205,0.224604074675866,0.200062789059171,-7.72333562695542,1.82198589244956,2.03699082797397,1.55395335071782,3.42932153237356,4.91561256429746,1.11665372438047,3.31963259228521,4.14933163325007,2.41477101620713,11.760246172401,24.1632468822791,1.24691554017278,-1.39632235170159,-0.868698877836723,-0.257097960444987,0.0654951927241448,0.0406994624662337,-6.9165001274145,0.162945335353437,0.385232419099403,0.79715911882153,0.947793586248813,0.967544086963849,8.52171341030144e-12,"gardner","did2s","crude.rate ~ unemploymentrate + treatment_level","instant",6,"level",5,"pos",0,0,0,0,0,0,5,0.0342652742188543,0.847116270729915,-0.126832021220893,0.861926896804506,4,16.3788093618328,11.7901555442413,5.18010449510342,16.3788093618328,11.7901555442413,5.18010449510342,18.0533387015499,12.4385983222794,6.69037040244093,1,9780
"crude.rate",NA,NA,-2.66692035234243,-1.7645234203682,-0.396511820126049,0.12738855146029,0.202267815486648,-7.98267739884256,0.705164842160202,1.46126458001537,1.55826189663934,3.32094223044842,4.64865049208167,1.13231465261001,0.497257454618822,2.1352941728075,2.42818013851803,11.0286572979757,21.6099513975312,1.28213647251533,NA,NA,NA,NA,NA,NA,0.000155584958669231,0.227227413497057,0.799141938674278,0.969401323296746,0.965294130265608,1.79077864896016e-12,"bjs","did_imputation","crude.rate ~ unemploymentrate + treatment_level","instant",6,"level",5,"pos",0,0,0,0,0,0,5,0.0342652742188543,0.847116270729915,-0.126832021220893,0.861926896804506,4,16.3788093618328,11.7901555442413,5.18010449510342,16.3788093618328,11.7901555442413,5.18010449510342,18.0533387015499,12.4385983222794,6.69037040244093,1,9780
"crude.rate",NA,NA,-0.841276438470108,-1.60475378057297,-0.302212507009601,0.957396315031298,1.8950019695526,-10.4377322759108,2.56193927545581,3.06373942905029,1.72117669551072,3.80921025251299,5.83336987360931,16.1973413016768,6.56353285112304,9.38649928911738,2.96244921716919,14.5100827478501,34.0282040823327,262.353865243004,NA,NA,NA,NA,NA,NA,0.74262825256415,0.600425130521139,0.86062012587392,0.801553401147408,0.745290478777985,0.51930945887167,"augsynth","multisynth","crude.rate ~ treatment_level | unemploymentrate","instant",6,"level",5,"pos",0,0,0,0,0,0,5,0.0342652742188543,0.847116270729915,-0.126832021220893,0.861926896804506,4,16.3788093618328,11.7901555442413,5.18010449510342,16.3788093618328,11.7901555442413,5.18010449510342,18.0533387015499,12.4385983222794,6.69037040244093,1,9780
"crude.rate",9.81086308148574,NA,-2.21018927888139,-2.08922382152626,-2.49793420442592,-3.25950692215105,-3.98932327292601,-2.98146026618888,0.918965156033589,0.872084160825191,1.14674344204898,0.954784393994686,1.10787927335771,1.12353034404665,0.844496958003839,0.760530783562178,1.31502052188233,0.911613239015799,1.2273964843356,1.26232043399359,-2.40508496363556,-2.39566766073285,-2.17828514455044,-3.41386698677984,-3.60086461481978,-2.65365353235629,0.0199115502820468,0.0203748346777984,0.0341271052326782,0.00127819934837044,0.000728032543117014,0.0106469771502154,"twfe","feols","crude.rate ~ unemploymentrate + i(time_to_treat, ref = c(-1, Inf)) | state + year","instant",6,"level",5,"pos",0,0,0,0,0,0,4,0.16837755039243,0.537006915773645,-0.0741377441593979,0.376502686691071,4,14.8840348655958,11.8005970330566,5.18010449510342,14.8840348655958,11.8005970330566,5.18010449510342,15.8844245839297,12.459041526654,6.69037040244093,2,9780
"crude.rate",NA,NA,-0.0693950484857651,2.60837455293895,4.92188841351264,6.26880152251067,8.68121464892007,8.42907161866671,1.67046056487986,1.64091889571691,1.65749482357495,1.69524437773369,1.81162146641067,1.79412614090552,2.79043849881874,2.69261482232081,2.74728909017774,2.87385350023768,3.28197233755995,3.21888860948053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"autoregressive","autoreg_debiased","crude.rate ~ unemploymentrate + i(time_to_treat, ref = c(-1)) + lag_outcome | year","instant",6,"level",5,"pos",0,0,0,0,0,0,4,0.16837755039243,0.537006915773645,-0.0741377441593979,0.376502686691071,4,14.8840348655958,11.8005970330566,5.18010449510342,14.8840348655958,11.8005970330566,5.18010449510342,15.8844245839297,12.459041526654,6.69037040244093,2,9780
"crude.rate",9.69053549953306,NA,-1.37954836585887,-1.25460374574414,-1.66542406281829,-2.51097107425119,-3.22789294689931,-2.15795595313078,0.478963872286996,0.377301800689625,0.855387491291189,0.556562622942558,0.567527829883147,0.771667616447129,0.229406390956154,0.142356648803634,0.731687760257435,0.3097619532567,0.322087837691874,0.595470910273193,-2.88027645858067,-3.32519946486076,-1.94698201665817,-4.51156971514838,-5.68763816844704,-2.796483754322,0.00583640590219085,0.00166046048526194,0.0571649950074011,3.91744938184867e-05,6.66570966752683e-07,0.00731293144899738,"sa","feols","crude.rate ~ unemploymentrate + sunab(treatment_date, time_to_treat, ref.p = c(-1, .F)) | state + year","instant",6,"level",5,"pos",0,0,0,0,0,0,4,0.16837755039243,0.537006915773645,-0.0741377441593979,0.376502686691071,4,14.8840348655958,11.8005970330566,5.18010449510342,14.8840348655958,11.8005970330566,5.18010449510342,15.8844245839297,12.459041526654,6.69037040244093,2,9780
